Generating SQLite file d07_graph_100.sqlite from d07_graph_100.nsys-rep
Processing [d07_graph_100.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.1,99643187,1,99643187.0,99643187.0,99643187,99643187,0.0,cuCtxCreate_v2
2.5,2680431,1330,2015.4,280.0,188,18307,4111.6,cuStreamSynchronize
2.1,2324852,513,4531.9,4558.0,2563,23823,1106.4,cuMemcpyDtoHAsync_v2
0.9,955892,1656,577.2,658.0,167,26873,811.0,cuEventRecord
0.7,745716,525,1420.4,1247.0,1058,16400,1097.8,cuMemcpyHtoDAsync_v2
0.6,604323,100,6043.2,5603.5,5206,21657,2131.4,cuGraphLaunch
0.5,540483,8,67560.4,54108.5,37731,164492,41632.3,cuMemHostRegister_v2
0.3,324121,8,40515.1,28416.0,22805,100829,26507.1,cuMemHostUnregister
0.3,320492,1656,193.5,149.0,90,4216,285.4,cuEventCreate
0.2,248801,6,41466.8,38051.5,35322,61067,9707.0,cuModuleLoadDataEx
0.2,243183,12,20265.3,6792.5,2323,120293,34766.7,cuMemAlloc_v2
0.2,208603,1656,126.0,95.0,63,2495,101.2,cuEventDestroy_v2
0.1,127695,2,63847.5,63847.5,9613,118082,76699.2,cuStreamCreate
0.1,93497,1,93497.0,93497.0,93497,93497,0.0,cuGraphInstantiateWithFlags
0.1,78494,1180,66.5,50.0,40,1865,108.2,cuCtxSetCurrent
0.1,75146,5,15029.2,4742.0,3083,53439,21597.3,cuMemFree_v2
0.0,46846,1030,45.5,42.0,38,416,16.6,cuStreamIsCapturing
0.0,30703,6,5117.2,4058.0,2772,11565,3216.0,cuModuleUnload
0.0,19859,1,19859.0,19859.0,19859,19859,0.0,cuGraphExecDestroy
0.0,14565,6,2427.5,1540.0,598,7801,2683.1,cuLaunchKernel
0.0,11498,1,11498.0,11498.0,11498,11498,0.0,cuStreamBeginCapture_v2
0.0,9365,11,851.4,436.0,296,3907,1058.5,cuCtxSynchronize
0.0,3976,1,3976.0,3976.0,3976,3976,0.0,cuStreamDestroy_v2
0.0,2678,1,2678.0,2678.0,2678,2678,0.0,cuGraphDestroy
0.0,1250,1,1250.0,1250.0,1250,1250,0.0,cuStreamEndCapture
