==PROF== Connected to process 8899 (/tmp/alignment_sweep)
offset= 0 floats (  0 B) : launched
offset= 4 floats ( 16 B) : launched
offset= 8 floats ( 32 B) : launched
offset=16 floats ( 64 B) : launched
offset=32 floats (128 B) : launched
==PROF== Disconnected from process 8899
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.sum","byte","16,780,800"
"0","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.sum","byte","221,440"
"0","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","27,008"
"1","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.sum","byte","16,785,408"
"1","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.sum","byte","768"
"1","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","26,144"
"2","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.sum","byte","16,783,104"
"2","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.sum","byte","6,144"
"2","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","26,240"
"3","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.sum","byte","16,781,056"
"3","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.sum","byte","3,072"
"3","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","25,952"
"4","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.sum","byte","16,781,312"
"4","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.sum","byte","768"
"4","8899","alignment_sweep","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","26,048"
