==PROF== Connected to process 6565 (/home/michalis/.sdkman/candidates/java/25.0.2-open/bin/java)
n=16777216 block=1024 executions=2 sampled-mismatches=0 PASSED
==PROF== Disconnected from process 6565
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","66.73"
"0","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","197,280"
"0","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector","5"
"0","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","2,621,440"
"0","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","launch__block_size","","1,024"
"0","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"0","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","54.86"
"0","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","smsp__inst_executed.sum","inst","9,437,184"
"1","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","66.26"
"1","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","198,080"
"1","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector","5"
"1","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","2,621,440"
"1","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","launch__block_size","","1,024"
"1","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"1","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","54.86"
"1","6565","java","127.0.0.1","elementwise","1","14","(1024, 1, 1)","(16384, 1, 1)","0","12.0","Command line profiler metrics","smsp__inst_executed.sum","inst","9,437,184"
