Generating SQLite file d07_graph_10.sqlite from d07_graph_10.nsys-rep
Processing [d07_graph_10.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
92.6,96041202,1,96041202.0,96041202.0,96041202,96041202,0.0,cuCtxCreate_v2
2.3,2348756,513,4578.5,4570.0,2432,19154,935.2,cuMemcpyDtoHAsync_v2
1.2,1205523,1060,1137.3,286.0,189,16714,1767.2,cuStreamSynchronize
0.9,930691,1566,594.3,670.0,147,20625,724.8,cuEventRecord
0.7,755952,525,1439.9,1264.0,1053,17778,1178.3,cuMemcpyHtoDAsync_v2
0.5,542164,8,67770.5,54328.5,39893,158245,39014.3,cuMemHostRegister_v2
0.3,327763,1566,209.3,147.0,90,20771,629.4,cuEventCreate
0.3,316804,8,39600.5,27733.5,19054,95153,26999.7,cuMemHostUnregister
0.2,257713,6,42952.2,39934.0,36768,60767,8922.2,cuModuleLoadDataEx
0.2,238587,12,19882.3,5386.0,2239,121798,34962.0,cuMemAlloc_v2
0.2,191973,1566,122.6,96.0,64,2505,88.3,cuEventDestroy_v2
0.1,127511,2,63755.5,63755.5,9342,118169,76952.3,cuStreamCreate
0.1,97656,1,97656.0,97656.0,97656,97656,0.0,cuGraphInstantiateWithFlags
0.1,89002,10,8900.2,5881.5,5586,20117,5744.7,cuGraphLaunch
0.1,72954,5,14590.8,5374.0,2864,54215,22208.5,cuMemFree_v2
0.1,69268,1090,63.5,47.0,40,1642,108.7,cuCtxSetCurrent
0.0,47387,1030,46.0,43.0,37,379,16.9,cuStreamIsCapturing
0.0,27771,6,4628.5,3459.5,2982,10826,3057.8,cuModuleUnload
0.0,14871,1,14871.0,14871.0,14871,14871,0.0,cuGraphExecDestroy
0.0,14471,6,2411.8,1710.0,657,7561,2578.6,cuLaunchKernel
0.0,11342,1,11342.0,11342.0,11342,11342,0.0,cuStreamBeginCapture_v2
0.0,8057,11,732.5,431.0,281,3161,843.8,cuCtxSynchronize
0.0,3296,1,3296.0,3296.0,3296,3296,0.0,cuStreamDestroy_v2
0.0,2439,1,2439.0,2439.0,2439,2439,0.0,cuGraphDestroy
0.0,1199,1,1199.0,1199.0,1199,1199,0.0,cuStreamEndCapture
