mode,api,calls_per_exec,ns_per_exec,scales_with_executions
nograph,cuCtxCreate_v2,0.00,-91088.5,False
nograph,cuCtxSetCurrent,14.00,904.8,True
nograph,cuCtxSynchronize,0.00,9.7,False
nograph,cuEventCreate,14.00,3645.2,True
nograph,cuEventDestroy_v2,14.00,1341.8,True
nograph,cuEventRecord,14.00,3928.7,True
nograph,cuLaunchKernel,6.00,11475.4,True
nograph,cuMemAlloc_v2,0.00,76.1,False
nograph,cuMemFree_v2,0.00,84.5,False
nograph,cuMemHostRegister_v2,0.00,-195.8,False
nograph,cuMemHostUnregister,0.00,68.8,False
nograph,cuMemcpyDtoHAsync_v2,1.00,1128.9,True
nograph,cuMemcpyHtoDAsync_v2,7.00,10383.3,True
nograph,cuModuleLoadDataEx,0.00,-23.1,False
nograph,cuModuleUnload,0.00,5.2,False
nograph,cuStreamCreate,0.00,36.5,False
nograph,cuStreamDestroy_v2,0.00,-3.1,False
nograph,cuStreamIsCapturing,1.00,54.0,True
nograph,cuStreamSynchronize,3.00,3046.8,True
graph,cuCtxCreate_v2,0.00,40022.1,False
graph,cuCtxSetCurrent,1.00,102.5,True
graph,cuCtxSynchronize,0.00,14.5,False
graph,cuEventCreate,1.00,-80.8,True
graph,cuEventDestroy_v2,1.00,184.8,True
graph,cuEventRecord,1.00,280.0,True
graph,cuGraphDestroy,0.00,2.7,False
graph,cuGraphExecDestroy,0.00,55.4,False
graph,cuGraphInstantiateWithFlags,0.00,-46.2,False
graph,cuGraphLaunch,1.00,5725.8,True
graph,cuLaunchKernel,0.00,1.0,False
graph,cuMemAlloc_v2,0.00,51.1,False
graph,cuMemFree_v2,0.00,24.4,False
graph,cuMemHostRegister_v2,0.00,-18.7,False
graph,cuMemHostUnregister,0.00,81.3,False
graph,cuMemcpyDtoHAsync_v2,0.00,-265.6,False
graph,cuMemcpyHtoDAsync_v2,0.00,-113.7,False
graph,cuModuleLoadDataEx,0.00,-99.0,False
graph,cuModuleUnload,0.00,32.6,False
graph,cuStreamBeginCapture_v2,0.00,1.7,False
graph,cuStreamCreate,0.00,2.0,False
graph,cuStreamDestroy_v2,0.00,7.6,False
graph,cuStreamEndCapture,0.00,0.6,False
graph,cuStreamIsCapturing,0.00,-6.0,False
graph,cuStreamSynchronize,3.00,16387.9,True
