shape,implementation,kernel,instances,avg_ns,grid_x,block_x
256,TornadoVM,biasRelu,20,1172.8,64,1024
256,TornadoVM,scale,40,1122.4,64,1024
256,TornadoVM,LinearCombination,20,9515.2,2,128
256,TornadoVM,LinearCombinationRelu,20,9955.1,2,128
256,CUDA,biasReluKernel,20,1313.5,256,256
256,CUDA,broadcastBias,1,1600.0,256,256
256,CUDA,scaleKernel,40,1100.8,256,256
256,CUDA,LinearCombination,20,9364.6,2,128
256,CUDA,LinearCombinationRelu,20,10092.8,2,128
1024,TornadoVM,biasRelu,20,4924.9,1024,1024
1024,TornadoVM,scale,40,4316.1,1024,1024
1024,TornadoVM,LinearCombination,20,30055.8,8,128
1024,TornadoVM,LinearCombinationRelu,20,30359.8,8,128
1024,CUDA,biasReluKernel,20,4092.8,4096,256
1024,CUDA,broadcastBias,1,3936.0,4096,256
1024,CUDA,scaleKernel,40,3504.8,4096,256
1024,CUDA,LinearCombination,20,29734.2,8,128
1024,CUDA,LinearCombinationRelu,20,30466.9,8,128
4096,TornadoVM,biasRelu,20,82977.4,16384,1024
4096,TornadoVM,scale,40,87937.4,16384,1024
4096,TornadoVM,LinearCombination,20,856770.7,32,128
4096,TornadoVM,LinearCombinationRelu,20,858509.7,32,128
4096,CUDA,biasReluKernel,20,58897.7,65536,256
4096,CUDA,broadcastBias,1,36800.0,65536,256
4096,CUDA,scaleKernel,40,66388.2,65536,256
4096,CUDA,LinearCombination,20,823562.6,32,128
4096,CUDA,LinearCombinationRelu,20,853759.4,32,128
