==PROF== Connected to process 105472 (/home/michalis/tornadovm-devoxx2026-cuda-demos/results/nvidia-meeting/task-B2-geometry-controlled/geom)
n=16777216 block=256 executions=2 sampled-mismatches=0 PASSED
==PROF== Disconnected from process 105472
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","86.41"
"0","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","145,312"
"0","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector","4"
"0","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_st.ratio","sector","4"
"0","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","2,097,152"
"0","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","2,097,152"
"0","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","launch__block_size","","256"
"0","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"0","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","smsp__inst_executed.sum","inst","9,437,184"
"1","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","86.49"
"1","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","144,224"
"1","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector","4"
"1","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_st.ratio","sector","4"
"1","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","2,097,152"
"1","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","2,097,152"
"1","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","launch__block_size","","256"
"1","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"1","105472","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","12.0","Command line profiler metrics","smsp__inst_executed.sum","inst","9,437,184"
