Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
733675553,8577,50,,,,,,,,,,0.131,15283.550,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
733879427,8032,54,,,,,,,,,,0.131,16320.587,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
733897283,7808,58,,,,,,,,,,0.131,16788.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
790790713,513,69,,,,,,,,,,0.000,46.784,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
791322078,216322,76,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,16,computeSmall
792025540,8864,92,,,,,,,,,,0.131,14788.693,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
792112452,8321,96,,,,,,,,,,0.131,15753.763,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
792125412,7776,100,,,,,,,,,,0.131,16857.917,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
800771404,352,107,,,,,,,,,,0.000,68.182,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
800883917,216417,114,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,17,computeSmall
801334257,8000,130,,,,,,,,,,0.131,16386.000,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
801386929,7744,134,,,,,,,,,,0.131,16927.656,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
801397969,8128,138,,,,,,,,,,0.131,16127.888,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
808398475,384,145,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
808461484,216225,152,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,18,computeSmall
808854095,7904,168,,,,,,,,,,0.131,16584.992,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
808913263,7904,172,,,,,,,,,,0.131,16584.992,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
808925871,8192,176,,,,,,,,,,0.131,16001.912,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
814805984,384,183,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
814872352,216194,190,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,19,computeSmall
815241667,8481,206,,,,,,,,,,0.131,15456.586,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
815264708,7712,210,,,,,,,,,,0.131,16997.919,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
815404837,8128,214,,,,,,,,,,0.131,16127.888,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
821173972,384,221,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
821212117,216162,226,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,16,computeSmall
821654169,8063,242,,,,,,,,,,0.131,16257.927,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
821680633,7904,246,,,,,,,,,,0.131,16584.992,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
821691705,7520,250,,,,,,,,,,0.131,17431.820,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
826724354,352,257,,,,,,,,,,0.000,68.182,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
826769507,216258,262,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,17,computeSmall
827142790,8192,278,,,,,,,,,,0.131,16001.912,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
827167974,8160,282,,,,,,,,,,0.131,16064.703,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
827177446,7808,286,,,,,,,,,,0.131,16788.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
832434386,384,293,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
832475442,216162,298,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,18,computeSmall
832949334,7872,314,,,,,,,,,,0.131,16652.371,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
832974390,8096,318,,,,,,,,,,0.131,16191.596,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
832984022,7840,322,,,,,,,,,,0.131,16720.405,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
837688285,384,329,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
837720701,216226,334,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,19,computeSmall
837820702,6112,341,,,,,,,,,,0.131,21447.570,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
837852798,6048,346,,,,,,,,,,0.131,21674.483,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
837881471,6112,351,,,,,,,,,,0.131,21447.570,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
837908799,6272,356,,,,,,,,,,0.131,20900.409,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
837934943,6272,361,,,,,,,,,,0.131,20900.409,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
837957919,6336,366,,,,,,,,,,0.131,20689.357,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
837979199,6113,371,,,,,,,,,,0.131,21444.030,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
838005247,6049,376,,,,,,,,,,0.131,21670.944,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
847274476,7776,403,,,,,,,,,,0.131,16857.917,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
847294892,8097,407,,,,,,,,,,0.131,16189.630,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
