Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.1,98439583,1,98439583.0,98439583.0,98439583,98439583,0.0,cuCtxCreate_v2
7.8,8613031,4,2153257.8,2682721.5,458839,2788749,1131049.5,cuLibraryLoadData
1.0,1064877,2,532438.5,532438.5,91789,973088,623172.5,cuLibraryUnload
0.8,872837,4,218209.3,46887.5,2733,776329,374020.4,cudaFree
0.4,422961,4,105740.3,92993.0,35411,201564,71616.5,cuMemHostRegister_v2
0.2,169793,4,42448.3,48156.5,17831,55649,17133.2,cuMemHostUnregister
0.1,163127,6,27187.8,9751.0,3103,117197,44263.1,cuMemAlloc_v2
0.1,149681,40,3742.0,2372.5,1349,16195,3596.6,cuMemcpyHtoDAsync_v2
0.1,102615,20,5130.8,3917.0,1754,21918,4901.1,cuLaunchKernel
0.1,80361,2,40180.5,40180.5,37955,42406,3147.3,cuModuleLoadDataEx
0.1,71159,810,87.9,70.0,41,947,64.8,cuGetProcAddress_v2
0.0,49490,10,4949.0,3532.0,3106,15335,3725.1,cudaLaunchKernel
0.0,40922,30,1364.1,323.0,209,3821,1546.7,cuStreamSynchronize
0.0,35517,3,11839.0,5390.0,1642,28485,14537.2,cudaMalloc
0.0,28288,10,2828.8,2436.0,1698,5456,1240.1,cuMemcpyDtoHAsync_v2
0.0,24373,70,348.2,274.5,129,1218,229.8,cuEventCreate
0.0,23734,2,11867.0,11867.0,7575,16159,6069.8,cuStreamCreate
0.0,23389,88,265.8,108.5,60,4360,527.0,cuCtxSetCurrent
0.0,22487,70,321.2,170.0,138,2253,415.0,cuEventRecord
0.0,14880,2,7440.0,7440.0,4835,10045,3684.0,cuModuleUnload
0.0,9704,4,2426.0,2147.5,1910,3499,728.1,cuMemFree_v2
0.0,9143,70,130.6,92.0,67,394,77.3,cuEventDestroy_v2
0.0,7610,4,1902.5,700.5,355,5854,2647.2,cudaDeviceSynchronize
0.0,7050,18,391.7,162.0,147,2188,558.3,cudaEventCreateWithFlags
0.0,6647,18,369.3,178.0,118,3262,725.7,cudaEventDestroy
0.0,4523,1,4523.0,4523.0,4523,4523,0.0,cuStreamDestroy_v2
0.0,3706,8,463.3,419.5,328,699,149.5,cuCtxSynchronize
0.0,1815,3,605.0,416.0,318,1081,415.1,cuInit
0.0,1621,10,162.1,136.5,96,302,62.8,cuStreamIsCapturing
0.0,1424,4,356.0,362.0,290,410,56.0,cuLibraryGetKernel
0.0,427,2,213.5,213.5,166,261,67.2,cudaGetDriverEntryPoint_v11030
0.0,127,2,63.5,63.5,59,68,6.4,cuModuleGetLoadingMode
