Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
96.5,96804336,1,96804336.0,96804336.0,96804336,96804336,0.0,cuCtxCreate_v2
1.1,1099657,2,549828.5,549828.5,481930,617727,96023.0,cuModuleLoadData
0.7,679836,3,226612.0,41198.0,4941,633697,353011.7,cuMemcpyHtoD_v2
0.4,431130,4,107782.5,100693.5,71642,158101,39651.8,cuMemHostRegister_v2
0.2,226725,80,2834.1,2187.0,1543,21953,2786.6,cuLaunchKernel
0.2,212876,9,23652.9,7217.0,2651,128847,40384.3,cuMemAlloc_v2
0.2,166571,60,2776.2,1658.0,1268,17130,2912.0,cuMemcpyHtoDAsync_v2
0.2,161481,4,40370.3,40143.5,34545,46649,5918.9,cuMemHostUnregister
0.1,120115,4,30028.8,14633.0,4217,86632,38471.6,cuModuleUnload
0.1,86951,60,1449.2,293.5,185,4127,1699.9,cuStreamSynchronize
0.1,75691,6,12615.2,2315.0,1891,64156,25252.8,cuMemFree_v2
0.1,66317,2,33158.5,33158.5,24963,41354,11590.2,cuModuleLoadDataEx
0.0,41205,20,2060.3,1725.0,1470,4895,825.3,cuMemcpyDtoHAsync_v2
0.0,25839,120,215.3,167.0,133,1665,202.1,cuEventRecord
0.0,25717,120,214.3,167.5,122,1344,159.3,cuEventCreate
0.0,23916,2,11958.0,11958.0,10006,13910,2760.5,cuMemGetInfo_v2
0.0,21779,140,155.6,101.5,43,1481,215.6,cuCtxSetCurrent
0.0,19461,2,9730.5,9730.5,6383,13078,4734.1,cuStreamCreate
0.0,12669,120,105.6,74.0,64,468,61.2,cuEventDestroy_v2
0.0,4934,7,704.9,462.0,307,2222,674.3,cuCtxSynchronize
0.0,4228,1,4228.0,4228.0,4228,4228,0.0,cuStreamDestroy_v2
0.0,1870,20,93.5,90.0,63,137,19.9,cuStreamIsCapturing
0.0,1725,1,1725.0,1725.0,1725,1725,0.0,cuInit
