Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.6,99314997,1,99314997.0,99314997.0,99314997,99314997,0.0,cuCtxCreate_v2
1.1,1191840,306,3894.9,644.5,206,18690,6327.6,cuStreamSynchronize
1.1,1148878,16,71804.9,66923.5,25407,155822,33505.9,cuMemHostRegister_v2
0.7,780153,16,48759.6,47157.5,22571,126914,26670.5,cuMemHostUnregister
0.7,706914,369,1915.8,1375.0,1123,16013,1545.8,cuMemcpyHtoDAsync_v2
0.6,620000,306,2026.1,1754.0,841,21492,1394.8,cuLaunchKernel
0.5,553545,50,11070.9,10301.5,9634,29044,2875.8,cuGraphLaunch
0.4,426638,12,35553.2,32353.5,27613,56187,8795.8,cuModuleLoadDataEx
0.3,338986,776,436.8,190.5,114,3365,593.5,cuEventCreate
0.2,218291,18,12127.3,4091.0,2391,120025,27217.6,cuMemAlloc_v2
0.2,191035,776,246.2,199.5,127,2157,174.2,cuEventRecord
0.1,102695,12,8557.9,9329.0,4115,15966,3688.0,cuModuleUnload
0.1,99461,843,118.0,76.0,42,1917,133.2,cuCtxSetCurrent
0.1,89691,51,1758.6,1572.0,1319,4906,631.0,cuMemcpyDtoHAsync_v2
0.1,85587,776,110.3,72.0,64,4209,169.5,cuEventDestroy_v2
0.1,77853,1,77853.0,77853.0,77853,77853,0.0,cuGraphInstantiateWithFlags
0.0,28646,6,4774.3,4755.0,2260,7963,2202.3,cuMemFree_v2
0.0,27521,3,9173.7,7183.0,4838,15500,5602.8,cuStreamCreate
0.0,23070,22,1048.6,1019.5,279,3927,917.2,cuCtxSynchronize
0.0,14862,1,14862.0,14862.0,14862,14862,0.0,cuGraphExecDestroy
0.0,10466,2,5233.0,5233.0,4758,5708,671.8,cuStreamDestroy_v2
0.0,5436,57,95.4,85.0,76,206,25.4,cuStreamIsCapturing
0.0,5026,1,5026.0,5026.0,5026,5026,0.0,cuStreamBeginCapture_v2
0.0,2671,1,2671.0,2671.0,2671,2671,0.0,cuGraphDestroy
0.0,1411,1,1411.0,1411.0,1411,1411,0.0,cuStreamEndCapture
