Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.2,110646101,1,110646101.0,110646101.0,110646101,110646101,0.0,cuCtxCreate_v2
0.4,404113,6,67352.2,54411.0,13693,124344,40849.3,cuMemHostRegister_v2
0.2,185673,12,15472.8,5651.5,1845,115490,31816.7,cuMemAlloc_v2
0.1,101562,2,50781.0,50781.0,45599,55963,7328.5,cuModuleLoadDataEx
0.0,51393,8,6424.1,4758.0,1292,14846,5368.1,cuMemcpyHtoDAsync_v2
0.0,37252,2,18626.0,18626.0,15954,21298,3778.8,cuLaunchKernel
0.0,30689,3,10229.7,7177.0,4973,18539,7280.0,cuStreamCreate
0.0,14353,2,7176.5,7176.5,6692,7661,685.2,cuMemcpyDtoHAsync_v2
0.0,12580,35,359.4,147.0,56,1670,422.5,cuCtxSetCurrent
0.0,9967,6,1661.2,497.0,320,4725,1953.7,cuStreamSynchronize
0.0,8534,12,711.2,450.0,150,1877,634.7,cuEventRecord
0.0,5641,12,470.1,360.0,130,932,295.6,cuEventCreate
0.0,433,2,216.5,216.5,194,239,31.8,cuStreamIsCapturing
