Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
75.9,96718927,1,96718927.0,96718927.0,96718927,96718927,0.0,cuCtxCreate_v2
7.0,8960239,4,2240059.8,2726723.0,524797,2981996,1150792.5,cuLibraryLoadData
3.7,4728434,307,15402.1,3162.0,198,119081,34720.2,cuStreamSynchronize
2.6,3361417,80,42017.7,30993.0,10188,129360,26619.6,cuMemHostRegister_v2
1.3,1669161,1012,1649.4,1287.5,431,15979,1263.4,cuMemcpyHtoDAsync_v2
1.1,1451276,16,90704.8,5711.0,1305,1088898,268364.3,cudaFree
1.1,1410017,80,17625.2,15920.0,7105,88169,11973.9,cuMemHostUnregister
1.0,1265296,2,632648.0,632648.0,94391,1170905,761210.3,cuLibraryUnload
0.9,1183779,49,24158.8,22403.0,18571,43817,5902.4,cuModuleLoadDataEx
0.8,1080817,505,2140.2,1705.0,302,21363,1669.1,cuLaunchKernel
0.8,1039948,40,25998.7,25683.5,22231,41686,4091.2,cuGraphLaunch
0.7,835639,2632,317.5,133.0,83,6908,646.1,cuEventCreate
0.5,654437,252,2597.0,2179.0,470,15338,1575.7,cudaLaunchKernel
0.4,517878,83,6239.5,3861.0,1583,118478,13056.2,cuMemAlloc_v2
0.3,435754,2632,165.6,143.0,125,1844,111.0,cuEventRecord
0.3,388676,253,1536.3,1288.0,453,8094,754.6,cuMemcpyDtoHAsync_v2
0.2,245211,2491,98.4,73.0,57,541,48.8,cuEventDestroy_v2
0.2,231328,12,19277.3,4965.5,1675,68249,25193.0,cudaMalloc
0.2,204599,2119,96.6,69.0,41,1405,106.5,cuCtxSetCurrent
0.2,195872,881,222.3,197.0,144,1579,141.2,cuStreamWaitEvent
0.1,172104,49,3512.3,3220.0,1869,10116,1526.6,cuModuleUnload
0.1,170711,80,2133.9,1882.0,1349,6971,916.5,cuMemFree_v2
0.1,165109,2,82554.5,82554.5,68622,96487,19703.5,cuGraphInstantiateWithFlags
0.1,78422,810,96.8,66.0,34,1238,91.0,cuGetProcAddress_v2
0.1,73226,13,5632.8,4797.0,1780,14803,3181.2,cuStreamCreate
0.0,59492,160,371.8,337.0,265,2357,173.8,cuCtxSynchronize
0.0,46281,2,23140.5,23140.5,21498,24783,2322.8,cuGraphExecDestroy
0.0,26119,12,2176.6,1217.5,774,5457,1712.4,cuStreamDestroy_v2
0.0,23898,16,1493.6,693.0,309,4936,1580.9,cudaDeviceSynchronize
0.0,20058,72,278.6,211.5,138,1417,237.1,cudaEventCreateWithFlags
0.0,19604,72,272.3,194.5,120,2873,348.5,cudaEventDestroy
0.0,13014,2,6507.0,6507.0,5826,7188,963.1,cuGraphDestroy
0.0,9876,2,4938.0,4938.0,1583,8293,4744.7,cuStreamEndCapture
0.0,8693,157,55.4,44.0,40,143,24.4,cuStreamIsCapturing
0.0,7219,2,3609.5,3609.5,3362,3857,350.0,cuStreamBeginCapture_v2
0.0,2330,3,776.7,524.0,486,1320,470.9,cuInit
0.0,1545,4,386.3,394.5,315,441,56.3,cuLibraryGetKernel
0.0,640,2,320.0,320.0,135,505,261.6,cudaGetDriverEntryPoint_v11030
0.0,193,2,96.5,96.5,71,122,36.1,cuModuleGetLoadingMode
