Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.6,576663529,162,3559651.4,1389972.0,23164,111175488,9109341.8,cuMemHostRegister_v2
25.6,275165253,2405,114413.8,346.0,162,27105384,577983.2,cuStreamSynchronize
9.0,96931515,1,96931515.0,96931515.0,96931515,96931515,0.0,cuCtxCreate_v2
4.5,48063118,162,296685.9,152781.0,14061,6872376,655998.9,cuMemHostUnregister
2.6,27498094,198,138879.3,35499.5,2057,2032985,313227.3,cuMemAlloc_v2
1.6,16915419,9620,1758.4,1566.0,1192,28903,1124.7,cuLaunchKernel
1.3,14469542,10129,1428.5,1274.0,1003,29251,1091.1,cuMemcpyHtoDAsync_v2
0.7,7253130,148,49007.6,46838.5,23542,181540,19527.7,cuModuleLoadDataEx
0.3,3237475,20919,154.8,108.0,79,7996,308.8,cuEventCreate
0.3,3046397,20919,145.6,134.0,116,2855,76.9,cuEventRecord
0.2,2371736,20919,113.4,83.0,58,22255,200.3,cuEventDestroy_v2
0.2,1786756,148,12072.7,4077.0,1623,1037580,84928.2,cuModuleUnload
0.1,1376665,20488,67.2,54.0,37,4619,103.3,cuCtxSetCurrent
0.0,240032,7,34290.3,3790.0,2778,211660,78262.9,cuMemFree_v2
0.0,161117,65,2478.7,2429.0,1635,4067,469.5,cuMemcpyDtoHAsync_v2
0.0,73168,169,432.9,318.0,276,4498,384.2,cuCtxSynchronize
0.0,21615,2,10807.5,10807.5,7363,14252,4871.3,cuStreamCreate
0.0,17815,2,8907.5,8907.5,8126,9689,1105.2,cuMemsetD8_v2
0.0,8569,65,131.8,132.0,60,332,45.6,cuStreamIsCapturing
0.0,5161,1,5161.0,5161.0,5161,5161,0.0,cuStreamDestroy_v2
