Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.0,87150688,1040,83798.7,83776.0,71296,87616,1089.2,fusedRmsNormFFNGateUp
22.9,51155827,2080,24594.1,24368.0,5887,40352,13939.6,matrixVectorGenericWithResidual
16.1,35986551,65,553639.2,553280.0,552735,561952,1704.6,matrixVectorGeneric
11.5,25711388,1040,24722.5,22672.0,6848,41216,10726.8,processHeadsFlashAttention
7.1,15803215,1040,15195.4,15200.0,7168,15841,372.3,fusedQKVMatmulX
1.7,3746484,2145,1746.6,1759.0,1535,2176,138.3,reductionOneBlockWithLayer
1.0,2211127,1040,2126.1,2144.0,1983,2656,82.6,ropeRotationWithCacheCopy
0.6,1386022,1040,1332.7,1344.0,1247,1568,56.6,mapContextWithQuantize
0.0,85953,65,1322.4,1343.0,1248,1504,56.6,mapContextWithQuantizeLogits
0.0,85084,65,1309.0,1312.0,1248,1504,52.0,convertFP16toFP32
