PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
683369,683379,0,65,65,967630.9,556587.0,555289,27179171,3301942.9,1973.4,1585.0,1317,20797,2384.8,412018.2,1554.0,1149,26604326,3299520.0,553639.2,553280.0,552735,561952,1704.6,cuLaunchKernel,matrixVectorGeneric
683369,683379,0,1040,1040,195410.8,143329.5,87007,3681158,424593.0,1829.3,1597.0,1230,20201,1455.1,109782.8,58272.5,516,3580029,423591.4,83798.7,83776.0,71296,87616,1089.2,cuLaunchKernel,fusedRmsNormFFNGateUp
683369,683379,0,2080,2080,134097.3,118297.5,14282,1789678,157306.7,1696.5,1510.0,1201,22836,1126.4,107806.7,78821.0,1262,1741274,150580.1,24594.1,24368.0,5887,40352,13939.6,cuLaunchKernel,matrixVectorGenericWithResidual
683369,683379,0,1040,1040,49670.8,44821.5,10256,599675,57424.9,1669.9,1564.5,1239,9654,532.1,23278.4,17346.0,400,588878,57813.6,24722.5,22672.0,6848,41216,10726.8,cuLaunchKernel,processHeadsFlashAttention
683369,683379,0,2145,2141,32621.8,6221.0,4237,361646,38260.2,1791.5,1588.0,1227,28903,1079.5,29139.2,1713.0,62,356446,38354.2,1746.6,1759.0,1535,2176,138.3,cuLaunchKernel,reductionOneBlockWithLayer
683369,683379,0,1040,1040,27793.4,18387.0,17396,649122,73538.3,1747.1,1518.0,1192,26207,1438.8,10850.9,1569.0,1131,626221,72752.8,15195.4,15200.0,7168,15841,372.3,cuLaunchKernel,fusedQKVMatmulX
683369,683379,0,1040,1040,27141.4,20524.0,5444,613982,61401.0,1733.8,1620.0,1247,10499,505.5,23281.6,16756.0,1272,607818,61119.3,2126.1,2144.0,1983,2656,82.6,cuLaunchKernel,ropeRotationWithCacheCopy
683369,683379,0,65,62,6644.1,5878.0,4955,24582,2810.5,4184.0,3310.0,2227,23847,3191.1,1222.9,1266.0,221,1936,282.1,1309.0,1312.0,1248,1504,52.0,cuLaunchKernel,convertFP16toFP32
683369,683379,0,65,65,5186.4,4673.0,3771,10936,1851.9,1768.2,1668.0,1310,5721,608.2,2095.8,1543.0,468,8254,1902.2,1322.4,1343.0,1248,1504,56.6,cuLaunchKernel,mapContextWithQuantizeLogits
683369,683379,0,1040,1040,5033.6,4639.5,3709,16078,1688.4,1701.5,1546.5,1199,13010,801.8,1999.4,1610.0,75,10306,1615.8,1332.7,1344.0,1247,1568,56.6,cuLaunchKernel,mapContextWithQuantize
