

Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.0,120700187,1,120700187.0,120700187.0,120700187,120700187,0.0,cuCtxCreate_v2
3.0,3999593,808,4950.0,4978.0,1413,19744,1129.5,cuMemcpyDtoHAsync_v2
3.0,3945183,1656,2382.4,279.0,169,102889,10572.0,cuStreamSynchronize
0.8,996924,812,1227.7,1034.5,920,14745,864.2,cuMemcpyHtoDAsync_v2
0.6,775767,2172,357.2,170.5,118,6221,294.4,cuEventRecord
0.4,584415,5,116883.0,81151.0,63418,205727,66486.4,cuMemHostRegister_v2
0.3,460583,13,35429.5,6777.0,2698,115575,45835.5,cuMemAlloc_v2
0.3,368970,2172,169.9,138.0,91,5623,284.8,cuEventCreate
0.2,237032,2048,115.7,83.0,62,2199,85.1,cuEventDestroy_v2
0.1,156173,40,3904.3,2362.0,2021,39416,6052.7,cuLaunchKernel
0.1,96534,1680,57.5,45.0,39,1704,81.6,cuCtxSetCurrent
0.1,84491,2,42245.5,42245.5,37352,47139,6920.5,cuModuleLoadDataEx
0.1,71951,3,23983.7,5116.0,3748,63087,33871.4,cuMemFree_v2
0.1,69150,1576,43.9,41.0,36,464,20.0,cuStreamIsCapturing
0.0,24549,3,8183.0,6942.0,4517,13090,4419.2,cuStreamCreate

