demo,kernel,metric,unit,tornadovm,cuda,ratio_tornadovm_over_cuda
01-vector-add,vectorAdd,achieved_occupancy,percent,55.66,88.72,0.6274
01-vector-add,vectorAdd,dram_bytes_read,bytes,134238336.0,134220416.0,1.0001
01-vector-add,vectorAdd,dram_bytes_write,bytes,40488576.0,36324096.0,1.1146
01-vector-add,vectorAdd,dram_throughput_pct_peak,percent,94.63,95.46,0.9913
01-vector-add,vectorAdd,global_load_sectors,sectors,5242880.0,4194304.0,1.25
01-vector-add,vectorAdd,global_store_sectors,sectors,2621440.0,2097152.0,1.25
01-vector-add,vectorAdd,instructions_executed,count,33554432.0,8388608.0,4.0
01-vector-add,vectorAdd,kernel_time_ncu,ns,187840.0,181760.0,1.0335
01-vector-add,vectorAdd,sectors_per_request_load,sectors,5.0,4.0,1.25
01-vector-add,vectorAdd,sectors_per_request_store,sectors,5.0,4.0,1.25
08-tensor-core,gemmMMASingleTile,hmma_instructions,count,1.0,1.0,1.0
08-tensor-core,gemmMMASingleTile,instructions_executed,count,183.0,40.0,4.575
08-tensor-core,gemmMMASingleTile,kernel_time_ncu,ns,3904.0,2016.0,1.9365
08-tensor-core,gemmMMASingleTile,tensor_pipe_cycles,cycles,16.0,16.0,1.0
08-tensor-core,gemmScalarFp16,hmma_instructions,count,0.0,0.0,
08-tensor-core,gemmScalarFp16,instructions_executed,count,628.0,400.0,1.57
08-tensor-core,gemmScalarFp16,kernel_time_ncu,ns,2688.0,2592.0,1.037
08-tensor-core,gemmScalarFp16,tensor_pipe_cycles,cycles,0.0,0.0,
14-warp-async-shared,rowSumNaive,bank_conflicts,count,3944385.6667,3685585.0,1.0702
14-warp-async-shared,rowSumNaive,bytes_used_per_sector,percent,3.12,3.12,1.0
14-warp-async-shared,rowSumNaive,dram_bytes_read,bytes,4371669.3333,4198784.0,1.0412
14-warp-async-shared,rowSumNaive,global_load_sectors,sectors,4194304.0,4194304.0,1.0
14-warp-async-shared,rowSumNaive,instructions_executed,count,487040.0,259456.0,1.8772
14-warp-async-shared,rowSumNaive,kernel_time_ncu,ns,120021.3333,120800.0,0.9936
14-warp-async-shared,rowSumNaive,kernel_time_nsys,ns,105643.1,105865.4,0.9979
14-warp-async-shared,rowSumNaive,sectors_per_request_load,sectors,32.0,32.0,1.0
14-warp-async-shared,rowSumOptimised,bank_conflicts,count,220.0,269.0,0.8178
14-warp-async-shared,rowSumOptimised,bytes_used_per_sector,percent,0.0,0.0,
14-warp-async-shared,rowSumOptimised,dram_bytes_read,bytes,4198272.0,4199552.0,0.9997
14-warp-async-shared,rowSumOptimised,global_load_sectors,sectors,163840.0,131072.0,1.25
14-warp-async-shared,rowSumOptimised,instructions_executed,count,1134592.0,1658880.0,0.684
14-warp-async-shared,rowSumOptimised,kernel_time_ncu,ns,7200.0,7040.0,1.0227
14-warp-async-shared,rowSumOptimised,kernel_time_nsys,ns,3940.9,4251.3,0.927
14-warp-async-shared,rowSumOptimised,sectors_per_request_load,sectors,5.0,4.0,1.25
15-kernel-time,elementwise,dram_bytes_read,bytes,16780480.0,16779904.0,1.0
15-kernel-time,elementwise,dram_bytes_write,bytes,0.0,0.0,
15-kernel-time,elementwise,global_load_sectors,sectors,655360.0,524288.0,1.25
15-kernel-time,elementwise,global_store_sectors,sectors,655360.0,524288.0,1.25
15-kernel-time,elementwise,sectors_per_request_load,sectors,5.0,4.0,1.25
15-kernel-time,elementwise,sectors_per_request_store,sectors,5.0,4.0,1.25
15-kernel-time,polynomial,dram_bytes_read,bytes,16784512.0,16781056.0,1.0002
15-kernel-time,polynomial,dram_bytes_write,bytes,0.0,0.0,
15-kernel-time,polynomial,global_load_sectors,sectors,655360.0,524288.0,1.25
15-kernel-time,polynomial,global_store_sectors,sectors,655360.0,524288.0,1.25
15-kernel-time,polynomial,sectors_per_request_load,sectors,5.0,4.0,1.25
15-kernel-time,polynomial,sectors_per_request_store,sectors,5.0,4.0,1.25
15-kernel-time,stencil,dram_bytes_read,bytes,16781120.0,16780160.0,1.0001
15-kernel-time,stencil,dram_bytes_write,bytes,576.0,0.0,
15-kernel-time,stencil,global_load_sectors,sectors,1966080.0,1835006.0,1.0714
15-kernel-time,stencil,global_store_sectors,sectors,655360.0,524288.0,1.25
15-kernel-time,stencil,sectors_per_request_load,sectors,5.0,4.67,1.0707
15-kernel-time,stencil,sectors_per_request_store,sectors,5.0,4.0,1.25
