demo,kernel,implementation,metric,unit,value,launches,source,file
01-vector-add,vectorAdd,CUDA,achieved_occupancy,percent,88.72,1,ncu,27-profiler-metrics/ncu-cuda01.csv
01-vector-add,vectorAdd,CUDA,dram_bytes_read,bytes,134220416.0,1,ncu,27-profiler-metrics/ncu-cuda01.csv
01-vector-add,vectorAdd,CUDA,dram_bytes_write,bytes,36324096.0,1,ncu,27-profiler-metrics/ncu-cuda01.csv
01-vector-add,vectorAdd,CUDA,dram_throughput_pct_peak,percent,95.46,1,ncu,27-profiler-metrics/ncu-cuda01.csv
01-vector-add,vectorAdd,CUDA,global_load_sectors,sectors,4194304.0,1,ncu,27-profiler-metrics/ncu-cuda01.csv
01-vector-add,vectorAdd,CUDA,global_store_sectors,sectors,2097152.0,1,ncu,27-profiler-metrics/ncu-cuda01.csv
01-vector-add,vectorAdd,CUDA,instructions_executed,count,8388608.0,1,ncu,27-profiler-metrics/ncu-cuda01.csv
01-vector-add,vectorAdd,CUDA,kernel_time_ncu,ns,181760.0,1,ncu,27-profiler-metrics/ncu-cuda01.csv
01-vector-add,vectorAdd,CUDA,sectors_per_request_load,sectors,4.0,1,ncu,27-profiler-metrics/ncu-cuda01.csv
01-vector-add,vectorAdd,CUDA,sectors_per_request_store,sectors,4.0,1,ncu,27-profiler-metrics/ncu-cuda01.csv
01-vector-add,vectorAdd,TornadoVM,achieved_occupancy,percent,55.66,1,ncu,27-profiler-metrics/ncu-tornado01.csv
01-vector-add,vectorAdd,TornadoVM,dram_bytes_read,bytes,134238336.0,1,ncu,27-profiler-metrics/ncu-tornado01.csv
01-vector-add,vectorAdd,TornadoVM,dram_bytes_write,bytes,40488576.0,1,ncu,27-profiler-metrics/ncu-tornado01.csv
01-vector-add,vectorAdd,TornadoVM,dram_throughput_pct_peak,percent,94.63,1,ncu,27-profiler-metrics/ncu-tornado01.csv
01-vector-add,vectorAdd,TornadoVM,global_load_sectors,sectors,5242880.0,1,ncu,27-profiler-metrics/ncu-tornado01.csv
01-vector-add,vectorAdd,TornadoVM,global_store_sectors,sectors,2621440.0,1,ncu,27-profiler-metrics/ncu-tornado01.csv
01-vector-add,vectorAdd,TornadoVM,instructions_executed,count,33554432.0,1,ncu,27-profiler-metrics/ncu-tornado01.csv
01-vector-add,vectorAdd,TornadoVM,kernel_time_ncu,ns,187840.0,1,ncu,27-profiler-metrics/ncu-tornado01.csv
01-vector-add,vectorAdd,TornadoVM,sectors_per_request_load,sectors,5.0,1,ncu,27-profiler-metrics/ncu-tornado01.csv
01-vector-add,vectorAdd,TornadoVM,sectors_per_request_store,sectors,5.0,1,ncu,27-profiler-metrics/ncu-tornado01.csv
08-tensor-core,gemmMMASingleTile,CUDA,hmma_instructions,count,1.0,1,ncu,23-ncu-tensor-core-counters/ncu-cuda08.csv
08-tensor-core,gemmMMASingleTile,CUDA,instructions_executed,count,40.0,1,ncu,23-ncu-tensor-core-counters/ncu-cuda08.csv
08-tensor-core,gemmMMASingleTile,CUDA,kernel_time_ncu,ns,2016.0,1,ncu,23-ncu-tensor-core-counters/ncu-cuda08.csv
08-tensor-core,gemmMMASingleTile,CUDA,tensor_pipe_cycles,cycles,16.0,1,ncu,23-ncu-tensor-core-counters/ncu-cuda08.csv
08-tensor-core,gemmMMASingleTile,TornadoVM,hmma_instructions,count,1.0,1,ncu,23-ncu-tensor-core-counters/ncu-tornado08.csv
08-tensor-core,gemmMMASingleTile,TornadoVM,instructions_executed,count,183.0,1,ncu,23-ncu-tensor-core-counters/ncu-tornado08.csv
08-tensor-core,gemmMMASingleTile,TornadoVM,kernel_time_ncu,ns,3904.0,1,ncu,23-ncu-tensor-core-counters/ncu-tornado08.csv
08-tensor-core,gemmMMASingleTile,TornadoVM,tensor_pipe_cycles,cycles,16.0,1,ncu,23-ncu-tensor-core-counters/ncu-tornado08.csv
08-tensor-core,gemmScalarFp16,CUDA,hmma_instructions,count,0.0,1,ncu,23-ncu-tensor-core-counters/ncu-cuda08.csv
08-tensor-core,gemmScalarFp16,CUDA,instructions_executed,count,400.0,1,ncu,23-ncu-tensor-core-counters/ncu-cuda08.csv
08-tensor-core,gemmScalarFp16,CUDA,kernel_time_ncu,ns,2592.0,1,ncu,23-ncu-tensor-core-counters/ncu-cuda08.csv
08-tensor-core,gemmScalarFp16,CUDA,tensor_pipe_cycles,cycles,0.0,1,ncu,23-ncu-tensor-core-counters/ncu-cuda08.csv
08-tensor-core,gemmScalarFp16,TornadoVM,hmma_instructions,count,0.0,1,ncu,23-ncu-tensor-core-counters/ncu-tornado08.csv
08-tensor-core,gemmScalarFp16,TornadoVM,instructions_executed,count,628.0,1,ncu,23-ncu-tensor-core-counters/ncu-tornado08.csv
08-tensor-core,gemmScalarFp16,TornadoVM,kernel_time_ncu,ns,2688.0,1,ncu,23-ncu-tensor-core-counters/ncu-tornado08.csv
08-tensor-core,gemmScalarFp16,TornadoVM,tensor_pipe_cycles,cycles,0.0,1,ncu,23-ncu-tensor-core-counters/ncu-tornado08.csv
14-warp-async-shared,cuCtxCreate_v2,TornadoVM,api_calls,count,1.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuCtxCreate_v2,TornadoVM,api_total_time,ns,120700187.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuCtxSetCurrent,TornadoVM,api_calls,count,1680.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuCtxSetCurrent,TornadoVM,api_total_time,ns,96534.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuEventCreate,TornadoVM,api_calls,count,2172.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuEventCreate,TornadoVM,api_total_time,ns,368970.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuEventDestroy_v2,TornadoVM,api_calls,count,2048.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuEventDestroy_v2,TornadoVM,api_total_time,ns,237032.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuEventRecord,TornadoVM,api_calls,count,2172.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuEventRecord,TornadoVM,api_total_time,ns,775767.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuLaunchKernel,TornadoVM,api_calls,count,40.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuLaunchKernel,TornadoVM,api_total_time,ns,156173.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemAlloc_v2,TornadoVM,api_calls,count,13.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemAlloc_v2,TornadoVM,api_total_time,ns,460583.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemFree_v2,TornadoVM,api_calls,count,3.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemFree_v2,TornadoVM,api_total_time,ns,71951.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemHostRegister_v2,TornadoVM,api_calls,count,5.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemHostRegister_v2,TornadoVM,api_total_time,ns,584415.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemcpyDtoHAsync_v2,TornadoVM,api_calls,count,808.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemcpyDtoHAsync_v2,TornadoVM,api_total_time,ns,3999593.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemcpyHtoDAsync_v2,TornadoVM,api_calls,count,812.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
