scenario,execution_window,median_us
plan_a_cold_jvm,0-10,173
plan_a_cold_jvm,10-50,122
plan_a_cold_jvm,50-100,89
plan_a_cold_jvm,100-300,65
plan_a_cold_jvm,300-1000,23
plan_a_cold_jvm,1000-3000,17
plan_a_cold_jvm,3000-10000,14
plan_a_cold_jvm,10000-30000,11
plan_b_warm_jvm_fresh_plan,0-10,31
plan_b_warm_jvm_fresh_plan,10-50,23
plan_b_warm_jvm_fresh_plan,50-100,16
plan_b_warm_jvm_fresh_plan,100-300,15
plan_b_warm_jvm_fresh_plan,300-1000,14
plan_c_warm_jvm_fresh_plan,0-10,24
plan_c_warm_jvm_fresh_plan,10-50,15
plan_c_warm_jvm_fresh_plan,50-100,14
plan_c_warm_jvm_fresh_plan,100-300,14
plan_c_warm_jvm_fresh_plan,300-1000,13
