==PROF== Connected to process 626673 (/tmp/claude-1005/-home-michalis/b139b136-1825-4367-a715-c0ae44c925e3/scratchpad/b36/15/kernel_time_comparison)
Kernel-time comparison: n=4194304, polynomial degree=256, 2 executions
  block size 256 (identical to the TornadoVM version)
  kernels: elementwise (memory-bound) -> polynomial (compute-bound) -> stencil (memory-bound)
  NOTE: the wall-clock below includes host dispatch and transfers.
        Compare kernel time with nsys -- see this demo's README.

first execution: 350448 us
steady-state median wall-clock (n=1): 157160 us
validation PASSED (max abs err 0.0000001, 0/4194304 elements out of tol)
Result is correct
==PROF== Disconnected from process 626673
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","626673","kernel_time_comparison","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"0","626673","kernel_time_comparison","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","1,966,080"
"0","626673","kernel_time_comparison","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","smsp__sass_inst_executed_op_global_ld.sum","inst","131,072"
"0","626673","kernel_time_comparison","127.0.0.1","elementwise(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","smsp__sass_inst_executed_op_global_st.sum","inst","131,072"
"1","626673","kernel_time_comparison","127.0.0.1","polynomial(const float *, float *, int, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"1","626673","kernel_time_comparison","127.0.0.1","polynomial(const float *, float *, int, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","44,826,624"
"1","626673","kernel_time_comparison","127.0.0.1","polynomial(const float *, float *, int, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","smsp__sass_inst_executed_op_global_ld.sum","inst","131,072"
"1","626673","kernel_time_comparison","127.0.0.1","polynomial(const float *, float *, int, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","smsp__sass_inst_executed_op_global_st.sum","inst","131,072"
"2","626673","kernel_time_comparison","127.0.0.1","stencil(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"2","626673","kernel_time_comparison","127.0.0.1","stencil(const float *, float *, int)","1","7","(256, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","3,670,016"
