# probe_specialisation run 1
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.3,806067,23,35046.4,34945.0,34625,37345,528.4,"polyRuntime(const float *, float *, int, int)"
46.7,706925,23,30735.9,30721.0,30625,30881,60.2,"void polyConst<(int)256>(const float *, float *, int)"

# probe_specialisation run 2
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.3,865814,23,37644.1,37505.0,37472,40193,576.2,"polyRuntime(const float *, float *, int, int)"
46.7,758257,23,32967.7,32961.0,32897,33057,48.1,"void polyConst<(int)256>(const float *, float *, int)"

# probe_specialisation run 3
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.3,865524,23,37631.5,37505.0,37376,40162,563.3,"polyRuntime(const float *, float *, int, int)"
46.7,758964,23,32998.4,32993.0,32928,33057,43.9,"void polyConst<(int)256>(const float *, float *, int)"

