# java run 1
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.9,11227026,10,1122702.6,1104337.5,1083714,1288994,61234.8,tile32x32x32
26.7,10046256,10,1004625.6,1003281.5,998018,1016194,6150.5,kcSimple
14.1,5293032,10,529303.2,529041.0,505505,594977,25287.6,tile128x128x32
13.4,5016137,10,501613.7,483168.5,479073,595393,35772.8,tile64x64x64
5.4,2012642,10,201264.2,201216.0,200577,201888,433.1,tile128x128x64
3.8,1433635,10,143363.5,143296.0,142720,143937,347.5,kcOptimised
3.7,1371972,10,137197.2,137424.5,135041,139744,1497.5,tile128x128x64Hinted
3.1,1166721,10,116672.1,116656.0,116064,117408,343.9,ampere_s1688gemm_fp16_128x64_sliced1x2_ldg8_nn

# java run 2
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.8,11231508,10,1123150.8,1099250.0,1085314,1273826,61193.7,tile32x32x32
26.7,10062482,10,1006248.2,1006673.5,999266,1014817,5088.4,kcSimple
14.1,5295626,10,529562.6,530129.0,505665,586978,23190.0,tile128x128x32
13.4,5029225,10,502922.5,483632.5,479585,594849,35719.6,tile64x64x64
5.4,2019649,10,201964.9,201872.0,201248,202752,467.2,tile128x128x64
3.8,1438338,10,143833.8,143728.5,143392,144513,323.3,kcOptimised
3.7,1375782,10,137578.2,137185.0,136096,140576,1351.5,tile128x128x64Hinted
3.1,1176740,10,117674.0,117744.5,117056,118304,417.6,ampere_s1688gemm_fp16_128x64_sliced1x2_ldg8_nn

# java run 3
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.9,11252146,10,1125214.6,1092210.0,1084993,1340163,80420.0,tile32x32x32
26.8,10071409,10,1007140.9,1007746.0,994369,1015426,5926.1,kcSimple
14.0,5283785,10,528378.5,528736.5,504673,588866,23806.3,tile128x128x32
13.4,5030151,10,503015.1,484785.0,478592,593761,34941.3,tile64x64x64
5.4,2019140,10,201914.0,201841.0,201280,202593,416.7,tile128x128x64
3.8,1442176,10,144217.6,144080.0,143680,144864,409.2,kcOptimised
3.7,1374627,10,137462.7,137775.5,134977,139265,1345.7,tile128x128x64Hinted
3.1,1176290,10,117629.0,117392.0,117024,118816,640.6,ampere_s1688gemm_fp16_128x64_sliced1x2_ldg8_nn

